,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
189,99.1,100.0,96.6,66.5,76.8,39.9,58.2,64.8,38.8,350,262,88,0.25,0.25
190,99.1,100.0,96.6,66.4,76.6,40.0,58.3,64.8,38.9,350,262,88,0.25,0.25
191,99.1,100.0,96.6,66.3,76.6,39.7,58.2,64.8,38.6,350,262,88,0.25,0.25
192,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
193,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
194,99.1,100.0,96.6,66.4,76.7,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
195,99.1,100.0,96.6,66.4,76.7,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
196,99.1,100.0,96.6,66.3,76.7,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
197,99.1,100.0,96.6,66.4,76.7,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
198,99.1,100.0,96.6,66.4,76.8,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
199,99.1,100.0,96.6,66.4,76.9,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
200,99.1,100.0,96.6,66.2,76.6,39.4,58.1,64.8,38.1,350,262,88,0.25,0.25
201,99.1,100.0,96.6,66.4,76.7,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
202,99.1,100.0,96.6,66.2,76.6,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
203,99.1,100.0,96.6,66.4,76.7,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
204,99.4,100.0,97.7,66.5,76.9,39.5,58.1,64.8,38.2,350,262,88,0.25,0.25
