,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
151,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
152,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
153,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
154,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
155,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
156,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
157,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
158,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
159,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
160,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
161,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
162,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
163,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
164,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
165,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
166,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
167,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
168,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
169,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
170,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
171,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
172,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
173,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
174,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
175,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
176,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
177,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
178,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
179,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
180,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
181,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
182,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
183,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
184,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
185,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
186,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
187,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
188,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
