grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,Run,Grass Growth,Sheep,Wolves,height,width,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,grass
30,3,22,275,389,0,4,20,20,100,50,0.04,0.05,True
30,3,22,276,394,0,13,20,20,100,50,0.04,0.05,True
30,3,22,277,400,0,18,20,20,100,50,0.04,0.05,True
30,3,22,278,400,0,3,20,20,100,50,0.04,0.05,True
30,3,22,279,372,1,12,20,20,100,50,0.04,0.05,True
30,3,24,280,400,0,13,20,20,100,50,0.04,0.05,True
30,3,24,281,389,1,13,20,20,100,50,0.04,0.05,True
30,3,24,282,380,2,21,20,20,100,50,0.04,0.05,True
30,3,24,283,377,1,9,20,20,100,50,0.04,0.05,True
30,3,24,284,385,1,9,20,20,100,50,0.04,0.05,True
30,3,24,285,399,0,18,20,20,100,50,0.04,0.05,True
30,3,24,286,398,0,10,20,20,100,50,0.04,0.05,True
30,3,24,287,398,0,15,20,20,100,50,0.04,0.05,True
30,3,24,288,389,0,23,20,20,100,50,0.04,0.05,True
30,3,24,289,400,0,12,20,20,100,50,0.04,0.05,True
30,3,26,290,390,0,18,20,20,100,50,0.04,0.05,True
30,3,26,291,400,0,28,20,20,100,50,0.04,0.05,True
30,3,26,292,399,0,12,20,20,100,50,0.04,0.05,True
30,3,26,293,397,0,20,20,20,100,50,0.04,0.05,True
30,3,26,294,388,0,14,20,20,100,50,0.04,0.05,True
30,3,26,295,349,4,9,20,20,100,50,0.04,0.05,True
30,3,26,296,397,0,16,20,20,100,50,0.04,0.05,True
30,3,26,297,389,3,20,20,20,100,50,0.04,0.05,True
30,3,26,298,395,0,17,20,20,100,50,0.04,0.05,True
30,3,26,299,398,0,13,20,20,100,50,0.04,0.05,True
30,4,18,300,367,3,3,20,20,100,50,0.04,0.05,True
30,4,18,301,396,0,15,20,20,100,50,0.04,0.05,True
30,4,18,302,373,2,7,20,20,100,50,0.04,0.05,True
30,4,18,303,394,0,6,20,20,100,50,0.04,0.05,True
30,4,18,304,369,2,1,20,20,100,50,0.04,0.05,True
30,4,18,305,387,0,4,20,20,100,50,0.04,0.05,True
30,4,18,306,391,0,6,20,20,100,50,0.04,0.05,True
30,4,18,307,400,0,11,20,20,100,50,0.04,0.05,True
30,4,18,308,397,0,9,20,20,100,50,0.04,0.05,True
30,4,18,309,399,0,12,20,20,100,50,0.04,0.05,True
30,4,20,310,333,10,14,20,20,100,50,0.04,0.05,True
30,4,20,311,394,0,8,20,20,100,50,0.04,0.05,True
30,4,20,312,399,0,15,20,20,100,50,0.04,0.05,True
30,4,20,313,399,0,11,20,20,100,50,0.04,0.05,True
30,4,20,314,353,4,8,20,20,100,50,0.04,0.05,True
30,4,20,315,396,0,9,20,20,100,50,0.04,0.05,True
30,4,20,316,376,1,10,20,20,100,50,0.04,0.05,True
30,4,20,317,398,0,7,20,20,100,50,0.04,0.05,True
30,4,20,318,400,0,11,20,20,100,50,0.04,0.05,True
30,4,20,319,366,2,7,20,20,100,50,0.04,0.05,True
30,4,22,320,358,3,10,20,20,100,50,0.04,0.05,True
30,4,22,321,399,0,21,20,20,100,50,0.04,0.05,True
30,4,22,322,380,1,21,20,20,100,50,0.04,0.05,True
30,4,22,323,394,0,17,20,20,100,50,0.04,0.05,True
30,4,22,324,393,0,13,20,20,100,50,0.04,0.05,True
30,4,22,325,364,1,13,20,20,100,50,0.04,0.05,True
30,4,22,326,381,0,18,20,20,100,50,0.04,0.05,True
30,4,22,327,386,0,18,20,20,100,50,0.04,0.05,True
30,4,22,328,390,0,21,20,20,100,50,0.04,0.05,True
30,4,22,329,382,1,6,20,20,100,50,0.04,0.05,True
30,4,24,330,366,4,21,20,20,100,50,0.04,0.05,True
30,4,24,331,400,0,16,20,20,100,50,0.04,0.05,True
30,4,24,332,399,0,20,20,20,100,50,0.04,0.05,True
30,4,24,333,398,0,33,20,20,100,50,0.04,0.05,True
30,4,24,334,326,5,29,20,20,100,50,0.04,0.05,True
30,4,24,335,395,0,28,20,20,100,50,0.04,0.05,True
30,4,24,336,356,4,22,20,20,100,50,0.04,0.05,True
30,4,24,337,369,1,15,20,20,100,50,0.04,0.05,True
30,4,24,338,370,4,16,20,20,100,50,0.04,0.05,True
30,4,24,339,366,1,23,20,20,100,50,0.04,0.05,True
30,4,26,340,396,0,23,20,20,100,50,0.04,0.05,True
