grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,Run,Grass Growth,Sheep,Wolves,height,width,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,grass
30,5,20,362,386,0,16,20,20,100,50,0.04,0.05,True
30,5,20,363,347,7,14,20,20,100,50,0.04,0.05,True
30,5,20,364,373,0,23,20,20,100,50,0.04,0.05,True
30,5,20,365,338,2,18,20,20,100,50,0.04,0.05,True
30,5,20,366,387,0,29,20,20,100,50,0.04,0.05,True
30,5,20,367,351,6,10,20,20,100,50,0.04,0.05,True
30,5,20,368,355,2,22,20,20,100,50,0.04,0.05,True
30,5,20,369,396,0,10,20,20,100,50,0.04,0.05,True
30,5,22,370,385,0,12,20,20,100,50,0.04,0.05,True
30,5,22,371,389,0,23,20,20,100,50,0.04,0.05,True
30,5,22,372,368,2,24,20,20,100,50,0.04,0.05,True
30,5,22,373,374,0,21,20,20,100,50,0.04,0.05,True
30,5,22,374,350,2,16,20,20,100,50,0.04,0.05,True
30,5,22,375,364,1,30,20,20,100,50,0.04,0.05,True
30,5,22,376,384,0,18,20,20,100,50,0.04,0.05,True
30,5,22,377,380,0,29,20,20,100,50,0.04,0.05,True
30,5,22,378,372,4,31,20,20,100,50,0.04,0.05,True
30,5,22,379,388,0,33,20,20,100,50,0.04,0.05,True
30,5,24,380,328,5,30,20,20,100,50,0.04,0.05,True
30,5,24,381,394,0,29,20,20,100,50,0.04,0.05,True
30,5,24,382,391,1,20,20,20,100,50,0.04,0.05,True
30,5,24,383,392,0,37,20,20,100,50,0.04,0.05,True
30,5,24,384,372,0,22,20,20,100,50,0.04,0.05,True
30,5,24,385,370,1,33,20,20,100,50,0.04,0.05,True
30,5,24,386,398,0,21,20,20,100,50,0.04,0.05,True
30,5,24,387,357,2,37,20,20,100,50,0.04,0.05,True
30,5,24,388,380,0,22,20,20,100,50,0.04,0.05,True
30,5,24,389,394,0,20,20,20,100,50,0.04,0.05,True
30,5,26,390,390,0,23,20,20,100,50,0.04,0.05,True
30,5,26,391,386,0,28,20,20,100,50,0.04,0.05,True
30,5,26,392,378,1,34,20,20,100,50,0.04,0.05,True
30,5,26,393,386,0,45,20,20,100,50,0.04,0.05,True
30,5,26,394,387,0,45,20,20,100,50,0.04,0.05,True
30,5,26,395,390,0,31,20,20,100,50,0.04,0.05,True
30,5,26,396,371,2,29,20,20,100,50,0.04,0.05,True
30,5,26,397,388,0,30,20,20,100,50,0.04,0.05,True
30,5,26,398,384,0,28,20,20,100,50,0.04,0.05,True
30,5,26,399,382,0,38,20,20,100,50,0.04,0.05,True
35,2,18,400,400,0,4,20,20,100,50,0.04,0.05,True
35,2,18,401,400,0,1,20,20,100,50,0.04,0.05,True
35,2,18,402,393,0,4,20,20,100,50,0.04,0.05,True
35,2,18,403,398,0,1,20,20,100,50,0.04,0.05,True
35,2,18,404,399,0,2,20,20,100,50,0.04,0.05,True
35,2,18,405,400,0,1,20,20,100,50,0.04,0.05,True
35,2,18,406,400,0,2,20,20,100,50,0.04,0.05,True
35,2,18,407,400,0,2,20,20,100,50,0.04,0.05,True
35,2,18,408,399,0,5,20,20,100,50,0.04,0.05,True
35,2,18,409,400,0,0,20,20,100,50,0.04,0.05,True
35,2,20,410,400,0,0,20,20,100,50,0.04,0.05,True
35,2,20,411,395,0,2,20,20,100,50,0.04,0.05,True
35,2,20,412,400,0,2,20,20,100,50,0.04,0.05,True
35,2,20,413,398,0,2,20,20,100,50,0.04,0.05,True
35,2,20,414,400,0,0,20,20,100,50,0.04,0.05,True
35,2,20,415,394,0,3,20,20,100,50,0.04,0.05,True
35,2,20,416,400,0,3,20,20,100,50,0.04,0.05,True
35,2,20,417,400,0,4,20,20,100,50,0.04,0.05,True
35,2,20,418,400,0,1,20,20,100,50,0.04,0.05,True
35,2,20,419,400,0,3,20,20,100,50,0.04,0.05,True
35,2,22,420,400,0,9,20,20,100,50,0.04,0.05,True
35,2,22,421,400,0,4,20,20,100,50,0.04,0.05,True
35,2,22,422,400,0,7,20,20,100,50,0.04,0.05,True
35,2,22,423,400,0,5,20,20,100,50,0.04,0.05,True
